" Armory",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Tinker's Tools",1,Misc,Mundane,,10,38 bc,FALSE,FALSE,FALSE,TRUE
"-[Musical Instruments]-",,,,,,,,,,
"Horn",1,Misc,Mundane,,2,3 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Fletcher/Bowyer",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"-[Weapon]-",,,,,,,,,,
"Light Crossbow",1,Light Crossbow,Mundane,12/12,5,25 bc,FALSE,TRUE,TRUE,TRUE
"Shortbow",1,Light Bow,Mundane,12/12,2,25 bc,TRUE,TRUE,TRUE,TRUE
"Hand Crossbow",1,Hand Crossbow,Mundane,12/12,3,75 bc,FALSE,FALSE,TRUE,TRUE
"Heavy Crossbow",1,Heavy Crossbow,Mundane,12/12,11,50 bc,FALSE,TRUE,TRUE,TRUE
"Longbow",1,Heavy Bow,Mundane,12/12,4,50 bc,TRUE,TRUE,TRUE,TRUE
"-[Ammunition]-",,,,,,,,,,
"Broadhead Arrow",20,Standard Arrow,Mundane,-,0.05,1 bc,TRUE,TRUE,TRUE,TRUE
"Barbed Broadhead Arrow",20,Wounding Arrow,Mundane,-,0.05,1.4 bc,FALSE,FALSE,TRUE,TRUE
"Bodkin Arrow",20,Anti-armor Arrow,Mundane,-,0.05,2 bc,FALSE,FALSE,TRUE,TRUE
"Wood Tipped Arrow",20,Shoddy Arrow,Mundane,-,0.05,50 cc,TRUE,TRUE,TRUE,TRUE
"Broadhead Bolt",20,Standard Bolt,Mundane,-,0.075,1 bc,TRUE,TRUE,TRUE,TRUE
"Barbed Broadhead Bolt",20,Wounding Bolt,Mundane,-,0.075,1.4 bc,FALSE,FALSE,TRUE,TRUE
"Bodkin Bolt",20,Anti-armor Bolt,Mundane,-,0.075,2 bc,FALSE,FALSE,TRUE,TRUE
"Wood Tipped Bolt",20,Shoddy Bolt,Mundane,-,0.075,50 cc,TRUE,TRUE,TRUE,TRUE
"-[Misc]-",,,,,,,,,,
"Shortbow Bowstring",1,Misc,Mundane,,0.05,8 cc,TRUE,TRUE,TRUE,TRUE
"Longbow Bowstring",1,Misc,Mundane,,0.05,10 cc,TRUE,TRUE,TRUE,TRUE
"Hand Crossbow Bowstring",1,Misc,Mundane,,0.05,10 cc,FALSE,FALSE,FALSE,TRUE
"Light Crossbow Bowstring",1,Misc,Mundane,,0.05,8 cc,FALSE,FALSE,FALSE,TRUE
"Heavy Crossbow Bowstring",1,Misc,Mundane,,0.05,20 cc,FALSE,FALSE,FALSE,TRUE
"Quiver (capacity: 20)",1,Misc,Mundane,,1,1 bc,TRUE,TRUE,TRUE,TRUE
"Case, Crossbow Bolts (capacity: 20)",1,Misc,Mundane,,1,1 bc,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,,
"Leatherworker",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"-[Armor]-",,,,,,,,,,
"Leather Helmet",1,Phy. Def. 0.5,Mundane,12/12,2,0.5 bc,FALSE,FALSE,FALSE,TRUE
"Leather Cuirass and Pauldrons",1,Phy. Def. 0.5,Mundane,12/12,4,3 bc,FALSE,FALSE,FALSE,TRUE
"Leather Cuisses and Greaves",1,Phy. Def. 0.5,Mundane,12/12,3,2 bc,FALSE,FALSE,FALSE,TRUE
"Leather Vambrace",1,Phy. Def. 0.5,Mundane,12/12,2,1.5 bc,FALSE,FALSE,FALSE,TRUE
"-[Weapom]-",,,,,,,,,,
"Sling",1,Sling,Mundane,12/12,0.5,20 cc,TRUE,TRUE,FALSE,FALSE
"-[Misc]-",,,,,,,,,,
"Waterskin (0/4)",1,Misc,Mundane,,1,20 cc,TRUE,TRUE,TRUE,TRUE
"Waterskin (4/4)",1,Misc,Mundane,,5,20 cc,TRUE,TRUE,TRUE,TRUE
"Cobbler's Tools",1,Misc,Mundane,,5,5 bc,FALSE,TRUE,TRUE,TRUE
"Leatherworker's Tools",1,Misc,Mundane,,10,5 bc,TRUE,TRUE,TRUE,TRUE
"Bagpipes",1,Misc,Mundane,,6,30 bc,FALSE,FALSE,FALSE,TRUE
"Drum",1,Misc,Mundane,,3,6 bc,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,,
"Temple/Faith Supplies",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Alms Box",1,Misc,Mundane,,1,5 bc,FALSE,O,O,O
"Bell",1,Misc,Mundane,,0.1,70 cc,FALSE,FALSE,TRUE,TRUE
"Blanket",1,Misc,Mundane,,3,50 cc,FALSE,TRUE,TRUE,TRUE
"Book, Scripture",1,Misc,Mundane,,0.5,25 bc,TRUE,TRUE,TRUE,TRUE
"Candle",1,Misc,Mundane,,0.1,1 cc,TRUE,TRUE,TRUE,TRUE
"Case, Map or Scroll",1,Misc,Mundane,,1,1 bc,FALSE,FALSE,TRUE,TRUE
"Censer",1,Misc,Mundane,,1,5 bc,FALSE,O,O,O
"Chalk (1 piece)",1,Misc,Mundane,,0.1,1 cc,FALSE,TRUE,TRUE,TRUE
"Flask",1,Misc,Mundane,,1,2 cc,TRUE,TRUE,TRUE,TRUE
"Healer's Kit",1,Misc,Mundane,,3,5 bc,FALSE,FALSE,TRUE,TRUE
"Amulet - Holy Symbol",1,Misc,Mundane,,1,5 bc,TRUE,TRUE,TRUE,TRUE
"Emblem",1,Misc,Mundane,,0.1,5 bc,TRUE,TRUE,TRUE,TRUE
"Reliquary",1,Misc,Mundane,,2,5 bc,TRUE,TRUE,TRUE,TRUE
"Blessed Water (flask)",1,Misc,Mundane,,1,25 bc,TRUE,TRUE,TRUE,TRUE
"Incense (1 block)",1,Misc,Mundane,,0.1,1 cc,FALSE,O,O,O
"Ink (1 ounce bottle)",1,Misc,Mundane,,0.1,10 bc,FALSE,FALSE,TRUE,TRUE
"Ink Pen (Fountain)",1,Misc,Mundane,,0.05,3 bc,FALSE,FALSE,TRUE,TRUE
"Lamp",1,Misc,Mundane,,1,50 cc,FALSE,TRUE,TRUE,TRUE
"Lantern, Hooded",1,Misc,Mundane,,2,5 bc,FALSE,FALSE,FALSE,TRUE
"Oil (flask)",1,Misc,Mundane,,1,10 cc,TRUE,TRUE,TRUE,TRUE
"Paper (one sheet)",1,Misc,Mundane,,0,20 cc,FALSE,FALSE,FALSE,TRUE
"Parchment (one sheet)",1,Misc,Mundane,,0,10 cc,FALSE,FALSE,TRUE,TRUE
"Perfume (vial)",1,Misc,Mundane,,0.1,5 bc,FALSE,FALSE,FALSE,TRUE
"Vial of Gradual Healing Blood",1,Misc,Mundane,,0.25,50 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Minor Healing Blood",1,Misc,Mundane,,0.25,50 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Medium Healing Blood",1,Misc,Mundane,,0.25,250 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Serious Healing Blood",1,Misc,Mundane,,0.25,2500 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Fatal Healing Blood",1,Misc,Mundane,,0.25,12500 bc,FALSE,FALSE,TRUE,TRUE
"Vial of Revival Healing Blood",1,Misc,Mundane,,0.25,62500 bc,FALSE,FALSE,FALSE,TRUE
"Rations (1 day)",1,Misc,Mundane,,2,50 cc,FALSE,TRUE,TRUE,TRUE
"Torch",1,Torch,Shoddy,9/9,1,1 cc,TRUE,TRUE,TRUE,TRUE
"Vial",1,Misc,Mundane,,0.1,1 bc,TRUE,TRUE,TRUE,TRUE
"Waterskin (0/4)",1,Misc,Mundane,,1,20 cc,TRUE,TRUE,TRUE,TRUE
"Waterskin (4/4)",1,Misc,Mundane,,5,20 cc,TRUE,TRUE,TRUE,TRUE
"Calligrapher's Supplies",1,Misc,Mundane,,5,10 bc,FALSE,FALSE,O,O
"Herbalism Kit",1,Misc,Mundane,,3,5 bc,FALSE,FALSE,TRUE,TRUE
"Flute",1,Misc,Mundane,,2,2 bc,FALSE,FALSE,FALSE,O
"Lyre",1,Misc,Mundane,,2,30 bc,FALSE,FALSE,FALSE,O
"Horn",1,Misc,Mundane,,2,3 bc,FALSE,FALSE,FALSE,O
"-[Services]-",,,,,,,,,,
"Lvl 1 Blessing",,,,,10 bc,,TRUE,TRUE,TRUE,TRUE
"Lvl 2 Blessing",,,,,50 bc,,FALSE,TRUE,TRUE,TRUE
"Lvl 3 Blessing",,,,,50 bc,,TRUE,TRUE,TRUE,TRUE
"Lvl 4 Blessing",,,,,100 bc,,FALSE,TRUE,TRUE,TRUE
"Lvl 5 Blessing",,,,,400 bc,,FALSE,TRUE,TRUE,TRUE
"Lvl 6 Blessing",,,,,1000 bc,,FALSE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Book Prices (Library or Otherwise)",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Sealing Wax",1,Misc,Mundane,,0,10 bc,TRUE,TRUE,TRUE,TRUE
"Common Book, Soft Bound",1,Misc,Mundane,,1,5 bc,FALSE,TRUE,TRUE,TRUE
"Common Book, Hard Bound",1,Misc,Mundane,,1,2 bc,TRUE,TRUE,TRUE,TRUE
"Uncommon Book, Soft Bound",1,Misc,Mundane,,1,30 bc,FALSE,TRUE,TRUE,TRUE
"Uncommon Book, Hard Bound",1,Misc,Mundane,,1,3 bc,FALSE,TRUE,TRUE,TRUE
"Rare Book, Soft Bound",1,Misc,Mundane,,1,10 bc,FALSE,FALSE,TRUE,TRUE
"Rare Book, Hard Bound",1,Misc,Mundane,,1,5 bc,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,,
"General Store",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Abacus",1,Misc,Mundane,,2,2 bc,FALSE,FALSE,TRUE,TRUE
"Barrel",1,Misc,Mundane,,70,2 bc,FALSE,TRUE,TRUE,TRUE
"Blanket",1,Misc,Mundane,,3,50 cc,TRUE,TRUE,TRUE,TRUE
"Bottle, glass",1,Misc,Mundane,,2,2 bc,FALSE,TRUE,TRUE,TRUE
"Bucket",1,Misc,Mundane,,2,5 bc,FALSE,TRUE,TRUE,TRUE
"Candle",1,Misc,Mundane,,0.1,1 cc,TRUE,TRUE,TRUE,TRUE
"Chest (12 ft^3)",1,300 lb container,Mundane,,25,5 bc,FALSE,FALSE,TRUE,TRUE
"Clothes, Common",1,Misc,Mundane,,3,5 bc,FALSE,TRUE,TRUE,TRUE
"Clothes, Fine",1,Misc,Mundane,,6,15 bc,FALSE,FALSE,FALSE,TRUE
"Flask or Tankard",1,Misc,Mundane,,1,2 cc,TRUE,TRUE,TRUE,TRUE
"Ink (1 ounce bottle)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Ink Pen (Fountain)",1,Misc,Mundane,,0.05,3 bc,FALSE,FALSE,TRUE,TRUE
"Journal, Soft Bound, 25 Sheets",1,Misc,Mundane,,1,7 bc,FALSE,TRUE,TRUE,TRUE
"Jug or PitcherJug or Pitcher",1,Misc,Mundane,,4,2 cc,TRUE,TRUE,TRUE,TRUE
"Ladder (10-foot)",1,Misc,Mundane,,25,10 cc,FALSE,TRUE,TRUE,TRUE
"String (10 feet)",1,Misc,Mundane,,0,1 cc,TRUE,TRUE,TRUE,TRUE
"Lantern, Hooded",1,Misc,Mundane,,2,5 bc,FALSE,FALSE,TRUE,TRUE
"Lamp",1,Misc,Mundane,,1,50 cc,FALSE,TRUE,TRUE,TRUE
"Lock",1,Misc,Mundane,,1,10 bc,FALSE,FALSE,TRUE,TRUE
"Mess Kit",1,Misc,Mundane,,1,20 cc,FALSE,TRUE,TRUE,TRUE
"Mirror, Steel",1,Misc,Mundane,,0.5,5 bc,FALSE,TRUE,TRUE,TRUE
"Paper (one sheet)",1,Misc,Mundane,,0,20 cc,FALSE,FALSE,TRUE,TRUE
"Parchment (one sheet)",1,Misc,Mundane,,0,10 cc,TRUE,TRUE,TRUE,TRUE
"Pick, Miner's",1,Large Hafted Point,Mundane,12/12,10,2 bc,FALSE,TRUE,TRUE,TRUE
"Pot, Iron",1,Misc,Mundane,,10,1 bc,TRUE,TRUE,TRUE,TRUE
"Pouch (1/5 ft^3)",1,6 lb container,Mundane,,1,50 cc,FALSE,TRUE,TRUE,TRUE
"Rope, Hempen (50 feet)",1,Misc,Mundane,,10,1 bc,FALSE,TRUE,TRUE,TRUE
"Rope, Silk (50 feet)",1,Misc,Mundane,,5,10 bc,FALSE,FALSE,FALSE,TRUE
"Sack",1,Misc,Mundane,,0.5,1 cc,TRUE,TRUE,TRUE,TRUE
"Scale, Merchant's",1,Misc,Mundane,,3,5 bc,FALSE,FALSE,TRUE,TRUE
"Shovel",1,Medium Hafted Blunt,Shoddy,9/9,5,2 bc,FALSE,TRUE,TRUE,TRUE
"Signet Ring",1,Misc,Mundane,,0.2,5 bc,FALSE,FALSE,TRUE,TRUE
"Soap",1,Misc,Mundane,,0.5,2 cc,FALSE,FALSE,TRUE,TRUE
"Vial",1,Misc,Mundane,,0.1,1 bc,FALSE,FALSE,TRUE,TRUE
"Carpenter's Tools",1,Misc,Mundane,,6,6 bc,TRUE,TRUE,TRUE,TRUE
"Cobbler's Tools",1,Misc,Mundane,,5,5 bc,FALSE,TRUE,TRUE,TRUE
"Cook's Utensils",1,Misc,Mundane,,8,1 bc,TRUE,TRUE,TRUE,TRUE
"Glassblower's Tools",1,Misc,Mundane,,7,30 bc,FALSE,FALSE,FALSE,TRUE
"Leatherworker's Tools",1,Misc,Mundane,,10,5 bc,FALSE,FALSE,TRUE,TRUE
"Mason's Tools",1,Misc,Mundane,,8,7 bc,TRUE,TRUE,TRUE,TRUE
"Potter's Tools",1,Misc,Mundane,,3,10 bc,FALSE,TRUE,TRUE,TRUE
"Smith's Tools",1,Misc,Mundane,,8,20 bc,FALSE,FALSE,FALSE,TRUE
"Weaver's Tools",1,Misc,Mundane,,5,1 bc,FALSE,TRUE,TRUE,TRUE
"Woodcarver's Tools",1,Misc,Mundane,,5,1 bc,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Adventuring Supplies",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"-[Armor]-",,,,,,,,,,
"Gambeson Coat",1,Phy. Def. 1,Mundane,12/12,5,2 bc,FALSE,FALSE,TRUE,TRUE
"Gambeson Leggings",1,Phy. Def. 0.5,Mundane,12/12,3,1 bc,FALSE,FALSE,TRUE,TRUE
"Leather Helmet",1,Phy. Def. 0.5,Mundane,12/12,2,0.5 bc,FALSE,FALSE,TRUE,TRUE
"Leather Cuirass and Pauldrons",1,Phy. Def. 0.5,Mundane,12/12,4,3 bc,FALSE,FALSE,TRUE,TRUE
"Leather Cuisses and Greaves",1,Phy. Def. 0.5,Mundane,12/12,3,2 bc,FALSE,FALSE,TRUE,TRUE
"Leather Vambrace",1,Phy. Def. 0.5,Mundane,12/12,2,1.5 bc,FALSE,FALSE,TRUE,TRUE
"-[Weapons]-",,,,,,,,,,
"Dagger",1,"Small Thrusting Point, Small Slashing Blade, Thrown Small Point",Mundane,12/12,1,2 bc,TRUE,TRUE,TRUE,TRUE
"Handaxe",1,Small Hafted Blade,Mundane,12/12,2,10 bc,TRUE,TRUE,TRUE,TRUE
"Light Hammer",1,Small Hafted Blunt,Mundane,12/12,2,1 bc,FALSE,FALSE,TRUE,TRUE
"Quarterstaff",1,Large Hafted Blunt,Mundane,12/12,4,20 cc,FALSE,FALSE,TRUE,TRUE
"Club",1,Medium Hafted Blunt,Mundane,12/12,2,10 cc,FALSE,TRUE,FALSE,FALSE
"Great Club",1,Large Hafted Blunt,Mundane,12/12,10,20 cc,FALSE,TRUE,TRUE,FALSE
"Whip",1,Whip,Mundane,12/12,3,2 bc,FALSE,TRUE,TRUE,TRUE
"Plumbata/Dart",1,Thrown Small Point,Mundane,12/12,5,5 cc,FALSE,TRUE,TRUE,TRUE
"Sling",1,Sling,Mundane,12/12,0.5,20 cc,FALSE,TRUE,TRUE,FALSE
"Hand Crossbow",1,Hand Crossbow,Mundane,12/12,3,75 bc,FALSE,FALSE,TRUE,TRUE
"Light Crossbow",1,Light Crossbow,Mundane,12/12,5,25 bc,FALSE,TRUE,TRUE,TRUE
"Shortbow",1,Light Bow,Mundane,12/12,2,25 bc,TRUE,TRUE,TRUE,TRUE
"Heavy Crossbow",1,Heavy Crossbow,Mundane,12/12,11,50 bc,FALSE,TRUE,TRUE,TRUE
"Longbow",1,Heavy Bow,Mundane,12/12,4,50 bc,TRUE,TRUE,TRUE,TRUE
"Blowgun",1,Blowgun,Mundane,12/12,1,10 bc,FALSE,TRUE,FALSE,FALSE
"- [Ammunition] -",,,,,,,,,,
"Broadhead Arrow",20,Standard Arrow,Mundane,-,0.05,1 bc,TRUE,TRUE,TRUE,TRUE
"Barbed Broadhead Arrow",20,Wounding Arrow,Mundane,-,0.05,1.4 bc,FALSE,FALSE,TRUE,TRUE
"Bodkin Arrow",20,Anti-armor Arrow,Mundane,-,0.05,2 bc,FALSE,FALSE,TRUE,TRUE
"Wood Tipped Arrow",20,Shoddy Arrow,Mundane,-,0.05,50 cc,TRUE,FALSE,TRUE,TRUE
"Broadhead Bolt",20,Standard Bolt,Mundane,-,0.075,1 bc,TRUE,FALSE,TRUE,TRUE
"Barbed Broadhead Bolt",20,Wounding Bolt,Mundane,-,0.075,1.4 bc,FALSE,FALSE,TRUE,TRUE
"Bodkin Bolt",20,Anti-armor Bolt,Mundane,-,0.075,2 bc,FALSE,FALSE,TRUE,TRUE
"Wood Tipped Bolt",20,Shoddy Bolt,Mundane,-,0.075,50 cc,TRUE,TRUE,TRUE,TRUE
"Sling Bullets",50,Standard Sling Bullets,Mundane,-,0.075,4 cc,FALSE,TRUE,TRUE,FALSE
