name,weaponType,baseDiceTierAdjustment,handedVariation,dicePoolMod,penetration,range,usesPerRound,areaOfEffect,ammoTypeAndAmountPerUseOption,damageTypes,governingSkillName,desc,duration,source
Blowgun (+0) (One-handed),Blowgun,+0,One-handed,+0d6,0,Mediocre,Quick,None,"Blowgun Dart, 1",Pierce,Exotic Ranged,A long narrow tube that propels darts using the force of the force of the users's breath.,Indefinite,Innate
,,,,,,,,,,,,,,
Sling (+0) (Two-handed),Sling,+0,Two-handed,+0d6,0,Mediocre,Quick,None,"Sling Bullet, 1",Bludgeon,Exotic Ranged,A flexible strap used to hurl small objects.,Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Small Slash Melee (+0) (One-handed),Thrown Small Slash Melee,+0,One-handed,+0d6,0,Short,Swift,None,"Self, 1",Slash,Close Melee,"Ninja stars, ect...",Indefinite,Innate
Thrown Small Slash Melee (+0) (Dual-wielded),Thrown Small Slash Melee,+0,Dual-wielded,+1d6,0,Short,Quick,None,"Self, 2",Slash,Close Melee,"Ninja stars, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Small Pierce Melee (+0) (One-handed),Thrown Small Pierce Melee,+0,One-handed,+0d6,0,Short,Swift,None,"Self, 1",Pierce,Close Melee,"Throwing daggers, ect...",Indefinite,Innate
Thrown Small Pierce Melee (+0) (Dual-wielded),Thrown Small Pierce Melee,+0,Dual-wielded,+1d6,0,Short,Quick,None,"Self, 2",Pierce,Close Melee,"Throwing daggers, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Small Hew Melee (+0) (One-handed),Thrown Small Hew Melee,+0,One-handed,+0d6,0,Short,Swift,None,"Self, 1",Hew,Close Melee,"Throwing hatchet, ect...",Indefinite,Innate
Thrown Small Hew Melee (+0) (Dual-wielded),Thrown Small Hew Melee,+0,Dual-wielded,+1d6,0,Short,Quick,None,"Self, 2",Hew,Close Melee,"Throwing hatchet, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Small Bludgeon Melee (+0) (One-handed),Thrown Small Bludgeon Melee,+0,One-handed,+0d6,0,Short,Swift,None,"Self, 1",Bludgeon,Close Melee,"Thrown small club, rocks, ect...",Indefinite,Innate
Thrown Small Bludgeon Melee (+0) (Dual-wielded),Thrown Small Bludgeon Melee,+0,Dual-wielded,+1d6,0,Short,Quick,None,"Self, 2",Bludgeon,Close Melee,"Thrown small club, rocks, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Medium Spear (+0) (One-handed),Thrown Medium Spear,+0,One-handed,+1d6,1,Mediocre,Quick,None,"Self, 1",Pierce,Medium Melee,"Thrown Javelins, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Thrown Large Spear (+0) (One-handed),Thrown Large Spear,+0,One-handed,+1d6,2,Short,Quick,None,"Self, 1",Pierce,Large Melee,Thrown two-handed spears.,Indefinite,Innate
,,,,,,,,,,,,,,
Muzzleloading Pistol (+0) (One-handed),Muzzleloading Pistol,+0,One-handed,+2d6,0,Mediocre,Extremely Slow,None,"Muzzleloading Pistol Cartridge, 1",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
Muzzleloading Pistol (+0) (Two-handed),Muzzleloading Pistol,+0,Two-handed,+2d6,0,Medium,Extremely Slow,None,"Muzzleloading Pistol Cartridge, 1",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
Muzzleloading Pistol (+0) (Dual-wielded),Muzzleloading Pistol,+0,Dual-wielded,+3d6,0,Mediocre,Painfully Slow,None,"Muzzleloading Pistol Cartridge, 2",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
Arquebus (+0) (One-handed),Arquebus,+0,One-handed,+0d6,0,Long,Extremely Slow,None,"Arquebus Cartridge, 1",Ballistic,Medium Guns,Weapon for Combat Rolls.,Indefinite,Innate
Arquebus (+0) (Two-handed),Arquebus,+0,Two-handed,+2d6,0,Long,Extremely Slow,None,"Arquebus Cartridge, 1",Ballistic,Medium Guns,Weapon for Combat Rolls.,Indefinite,Innate
,,,,,,,,,,,,,,
Musket (+0) (One-handed),Musket,+0,One-handed,+0d6,1,Sharpshooter,Painfully Slow,None,"Musket Cartridge, 1",Ballistic,Medium Guns,Flintlock smoothbore long guns.,Indefinite,Innate
Musket (+0) (Two-handed),Musket,+0,Two-handed,+3d6,1,Sharpshooter,Painfully Slow,None,"Musket Cartridge, 1",Ballistic,Medium Guns,Flintlock smoothbore long guns.,Indefinite,Innate
,,,,,,,,,,,,,,
9mm Semi-automatic Pistol (+0) (One-handed),9mm Semi-automatic Pistol,+0,One-handed,+2d6,2,Extended,Reach Swift,None,"9mm Ammo, 1",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
9mm Semi-automatic Pistol (+0) (Two-handed),9mm Semi-automatic Pistol,+0,Two-handed,+2d6,2,Far,Reach Swift,None,"9mm Ammo, 1",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
9mm Semi-automatic Pistol (+0) (Dual-wielded),9mm Semi-automatic Pistol,+0,Dual-wielded,+3d6,2,Extended,Reach Swift,None,"9mm Ammo, 2",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
9mm Burst-fire Pistol (+0) (One-handed),9mm Burst-fire Pistol,+0,One-handed,+3d6,2,Mediocre,Reach Swift,None,"9mm Ammo, 3",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
9mm Burst-fire Pistol (+0) (Two-handed),9mm Burst-fire Pistol,+0,Two-handed,+3d6,2,Medium,Reach Swift,None,"9mm Ammo, 3",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
9mm Burst-fire Pistol (+0) (Dual-wielded),9mm Burst-fire Pistol,+0,Dual-wielded,+4d6,2,Mediocre,Reach Swift,None,"9mm Ammo, 6",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
9mm Automatic Pistol (+0) (One-handed),9mm Automatic Pistol,+0,One-handed,+3d6,2,Short,Rapid,None,"9mm Ammo, 6",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
9mm Automatic Pistol (+0) (Two-handed),9mm Automatic Pistol,+0,Two-handed,+3d6,2,Mediocre,Rapid,None,"9mm Ammo, 6",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
9mm Automatic Pistol (+0) (Dual-wielded),9mm Automatic Pistol,+0,Dual-wielded,+4d6,2,Short,Rapid,None,"9mm Ammo, 12",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
12 Gauge Pump-action Shotgun (+0) (One-handed),12 Gauge Pump-action Shotgun,+0,One-handed,+1d6,2,Extended,Swift,None,"12 Gauge Ammo, 1",Ballistic,Medium Guns,"Remington 870, Mossberg 500, ect...",Indefinite,Innate
12 Gauge Pump-action Shotgun (+0) (Two-handed),12 Gauge Pump-action Shotgun,+0,Two-handed,+3d6,2,Extended,Swift,None,"12 Gauge Ammo, 1",Ballistic,Medium Guns,"Remington 870, Mossberg 500, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
5.56 Semi-automatic Rifle (+0) (One-handed),5.56 Semi-automatic Rifle,+0,One-handed,+1d6,3,Extreme,Reach Swift,None,"5.56 Ammo, 1",Ballistic,Medium Guns,"AR-15, ect...",Indefinite,Innate
5.56 Semi-automatic Rifle (+0) (Two-handed),5.56 Semi-automatic Rifle,+0,Two-handed,+3d6,3,Extreme,Reach Swift,None,"5.56 Ammo, 1",Ballistic,Medium Guns,"AR-15, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
5.56 Burst Rifle (+0) (One-handed),5.56 Burst Rifle,+0,One-handed,+2d6,3,Sharpshooter,Reach Swift,None,"5.56 Ammo, 3",Ballistic,Medium Guns,"M16A2, ect...",Indefinite,Innate
5.56 Burst Rifle (+0) (Two-handed),5.56 Burst Rifle,+0,Two-handed,+4d6,3,Sharpshooter,Reach Swift,None,"5.56 Ammo, 3",Ballistic,Medium Guns,"M16A2, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
5.56 Automatic Rifle (+0) (One-handed),5.56 Automatic Rifle,+0,One-handed,+2d6,3,Distant,Rapid,None,"5.56 Ammo, 6",Ballistic,Medium Guns,"M4, ect...",Indefinite,Innate
5.56 Automatic Rifle (+0) (Two-handed),5.56 Automatic Rifle,+0,Two-handed,+4d6,3,Distant,Rapid,None,"5.56 Ammo, 6",Ballistic,Medium Guns,"M4, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
.308 Bolt Action Rifle (+0) (One-handed),.308 Bolt Action Rifle,+0,One-handed,+1d6,4,Sniper,Quick,None,".308 Ammo, 1",Ballistic,Medium Guns,"Remington M700, ect...",Indefinite,Innate
.308 Bolt Action Rifle (+0) (Two-handed),.308 Bolt Action Rifle,+0,Two-handed,+4d6,4,Sniper,Quick,None,".308 Ammo, 1",Ballistic,Medium Guns,"Remington M700, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
5.56 Machine Gun (+0) (One-handed),5.56 Machine Gun,+0,One-handed,-2,3,Extreme,Rapid,None,"5.56 Ammo, 10",Ballistic,Heavy Guns,"M249, ect...",Indefinite,Innate
5.56 Machine Gun (+0) (Two-handed),5.56 Machine Gun,+0,Two-handed,+4d6,3,Extreme,Rapid,None,"5.56 Ammo, 10",Ballistic,Heavy Guns,"M249, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
RPG Launcher (+0) (One-handed),RPG Launcher,+0,One-handed,-2,6,Sharpshooter,Paced,30 ft Sphere,"RPG Ammo, 1",Shockwave,Heavy Guns,"RPG-7, ect...",Indefinite,Innate
RPG Launcher (+0) (Two-handed),RPG Launcher,+0,Two-handed,+6d6,6,Sharpshooter,Paced,30 ft Sphere,"RPG Ammo, 1",Shockwave,Heavy Guns,"RPG-7, ect...",Indefinite,Innate
