Name,Effect,duration,source
Language: Bright-speak,Can speak and write Bright-speak.,,
Language: Pirish,Can speak and write Pirish.,,
Language - Deep-speak,Can speak and write Deep-speak.,,
Language: Primal,Can speak and write Primal.,,
Language: Kikishi,Can speak and write Kikishi.,,
Language: Draconic,Can speak and write Draconic.,,
Language: Demonic,Can speak and write Demonic.,,
,,,
Disabling: Amnesia,Character is missing a large portion of their past.,,
Disabling: Missing bodily extremity/limb,STR and RFX dice penalties when performing tasks requiring 2 hands.,,
Disabling: Feeble,-1 STR,,
Disabling: Heavy,-1 RFX,,
Disabling: Dim-witted,-1 INT,,
Disabling: Phobia,Debilitating fear of ?.,,
Disabling: Extreme Prejudice,Overwhelming hatred/disgust of ?.,,
Disabling: Compulsive Liar,Compulsion to lie about self-aggrandizing claims/achievements.,,
Disabling: Kleptomaniac,Desire to steal most things regardless of value.,,
Disabling: Betrayal Paranoia,Extreme belief that every person met will betray them.,,
Disabling: Government Paranoia,Extreme belief that the ruling class is run by an evil cult.,,
Disabling: Superstition Paranoia,Extreme belief in common superstition and old wives tales.,,
Disabling: Paranoia,Irrational belief that ...,,
Disabling: Over-emotional (specific emotion),,,
Disabling: Loose Cannon,Overwhelming predisposition towards rage/anger.,,
Disabling: Incontrollable Grief,Overwhelming grief that is triggered reminder of past trauma.,,
Disabling: Very Forgetful,"Often forgets plans, directions, people, items,  names...",,
Disabling: Endurance Overconfidence,"Extremely overconfident in Endurance, cannot invest in.",,
Disabling: Overconfidence,"Extremely overconfident in , cannot invest in.",,
Disabling: Athletics Overconfidence,"Extremely overconfident in Athletics, cannot invest in.",,
Disabling: Swim Overconfidence,"Extremely overconfident in Swim, cannot invest in.",,
Disabling: Lift Overconfidence,"Extremely overconfident in Lift, cannot invest in.",,
Disabling: Perception Overconfidence,"Extremely overconfident in Perception, cannot invest in.",,
Disabling: Dexterity Overconfidence,"Extremely overconfident in Dexterity, cannot invest in.",,
Disabling: Ride/Pilot Overconfidence,"Extremely overconfident in Ride/Pilot, cannot invest in.",,
Disabling: Stealth Overconfidence,"Extremely overconfident in Stealth, cannot invest in.",,
Disabling: Knowledge Overconfidence,"Extremely overconfident in Gen. Knowledge, cannot invest in.",,
Disabling: Will Overconfidence,"Extremely overconfident in Will, cannot invest in.",,
Disabling: Communication Overconfidence,"Extremely overconfident in Communication, cannot invest in.",,
Disabling: Incapable of Lying,"(Specific parameters required, see Cogent website for examples)",,
Disabling: Addiction,"Extreme addiction, suffers from withdrawals if not satisfied.",,
Disabling: Delusion,"Belief of something to be real beyond the scope of simple faith. ",,
Disabling: Imperceptive,Disadvantage to environmental Perception rolls.,,
Disabling: Blind,Unable to make sight based perception checks.,,
Disabling: Deaf,Unable to make hearing based perception checks.,,
Disabling: Anosmia,Unable to make smell based perception checks.,,
Disabling: Ageusia,Unable to make taste based perception checks.,,
Disabling: Anaphia,Unable to make touch based perception checks.,,
Disabling: Gullible," Disadvantage versus deceptive communication rolls.",,
Disabling: Impressionable," Disadvantage versus persuasive communication rolls.",,
Disabling: People Pleaser,"Always try to make other people happy, even at their own expense.",,
Disabling: SKILL Overconfidence,"Extremely overconfident in SKILL, cannot invest in.",,
Disabling: Illiterate,Can't read or write.,,
Disabling: Overly Nostalgic,Constantly reminiscing about the good old day.,,
,,,
Size: Tiny,2.5x2.5 ft on battle map.,,
Size: Small,5x5 ft on battle map.,,
Size: Medium,5x5 ft on battle map.,,
Size: Large,10x10 ft on battle map.,,
Size: Huge,15x15 ft on battle map.,,
Size: Gargantuan,20x20 ft on battle map.,,
,,,
Minor Weakness: (Damage Type),+1 to the level of injury received from damage type.,,
Medium Weakness: (Damage Type),+2 to the level of injury received from damage type.,,
Serious Weakness: (Damage Type),+3 to the level of injury received from damage type.,,
Fatal Weakness: (Damage Type),+4 to the level of injury received from damage type.,,
Minor Resistance: (Damage Type),-1 to victory levels received from damage type.,,
Medium Resistance: (Damage Type),-2 to victory levels received from damage type.,,
Serious Resistance: (Damage Type),-3 to victory levels received from damage type.,,
Fatal Resistance: (Damage Type),-4 to victory levels received from damage type.,,
Complete Resistance: (Damage Type),Negate victory levels received from damage type.,,
