name,desc,duration,source
Minor Heal,"Removes a minor injury. For a higher tier injury, reduce the dice penalty of the injury by 1. Injury remains at its current tier. Further minor heals have no effect. ",Instantaneous,Treatment
Medium Heal,"Removes a medium or lesser injury. For a higher tier injury, reduce the dice penalty of the injury by 2. Injury remains at its current tier. Further medium healing has no effect. ",Instantaneous,Treatment
Serious Heal,"Removes a serious or lesser injury. For a higher tier injury, reduce the dice penalty of the injury by 3. Injury remains at its current tier. Further serious healing has no effect. ",Instantaneous,Treatment
Fatal Heal,Removes a Fatal or lesser injury. Can be used to reattach limbs as long as the limb is not destroyed.,Instantaneous,Treatment
Revival Heal,"Return a dead character to life with a serious injury. Can only be performed within minutes of death. For living characters, it completely heals all injuries, regrowing body parts, and returning the body to peak performance.",Instantaneous,Treatment
,,,
Keen Hearing,Advantage on hearing based Perception checks.,Indefinite,Innate
Keen Smell,Advantage on smell based Perception checks.,Indefinite,Innate
Keen Sight,Advantage on sight based Perception checks.,Indefinite,Innate
,,,
Vision: Darkvision,"Within 60 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Vision: Enhanced Darkvision,"Within 120 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Vision: Blindsight,"Within 30 ft, the environment can be perceived without the need for sight.",Indefinite,Innate
Vision: Truesight,"A being possessing truesight can, within a designated range, perceive both in regular and magical darkness, observe invisible entities and objects, effortlessly discern visual illusions, succeed on skill checks against them, and discern the true form of a shapechanger or a creature altered by magic. Additionally, this creature has the ability to see into the Ethereal Plane.",Indefinite,Innate
,,,
Light: Glow,Provides 20 ft radius bright light and 40 ft radius dim light.,Indefinite,Innate
,,,
Language: Babelish,Can speak and write Babelish.,Indefinite,Culture
Language: Bright-speak,Can speak and write Bright-speak.,Indefinite,Culture
Language: Pirish,Can speak and write Pirish.,Indefinite,Culture
Language - Deep-speak,Can speak and write Deep-speak.,Indefinite,Culture
Language: Primal,Can speak and write Primal.,Indefinite,Culture
Language: Kikishi,Can speak and write Kikishi.,Indefinite,Culture
Language: Draconic,Can speak and write Draconic.,Indefinite,Culture
Language: Demonic,Can speak and write Demonic.,Indefinite,Culture
,,,
Disabling: Amnesia,Character is missing a large portion of their past.,Indefinite,Backstory
Disabling: Missing bodily extremity/limb,STR and RFX dice penalties when performing tasks requiring 2 hands.,Indefinite,Backstory
Disabling: Feeble,STR is set to -1,Indefinite,Backstory
Disabling: Heavy,RFX is set to -1,Indefinite,Backstory
Disabling: Dim-witted,INT is set to -1,Indefinite,Backstory
Disabling: Phobia,Debilitating fear of ?.,Indefinite,Backstory
Disabling: Extreme Prejudice,Overwhelming hatred/disgust of ?.,Indefinite,Backstory
Disabling: Compulsive Liar,Compulsion to lie about self-aggrandizing claims/achievements.,Indefinite,Backstory
Disabling: Kleptomaniac,Desire to steal most things regardless of value.,Indefinite,Backstory
Disabling: Betrayal Paranoia,Extreme belief that every person met will betray them.,Indefinite,Backstory
Disabling: Government Paranoia,Extreme belief that the ruling class is run by an evil cult.,Indefinite,Backstory
Disabling: Superstition Paranoia,Extreme belief in common superstition and old wives tales.,Indefinite,Backstory
Disabling: Paranoia,Irrational belief that ...,Indefinite,Backstory
Disabling: Over-emotional (specific emotion),,Indefinite,Backstory
Disabling: Loose Cannon,Overwhelming predisposition towards rage/anger.,Indefinite,Backstory
Disabling: Incontrollable Grief,Overwhelming grief that is triggered reminder of past trauma.,Indefinite,Backstory
Disabling: Very Forgetful,"Often forgets plans, directions, people, items,  names...",Indefinite,Backstory
Disabling: Overconfidence,"Extremely overconfident in , cannot invest in.",Indefinite,Backstory
Disabling: Endurance Overconfidence,"Extremely overconfident in Endurance, cannot invest in.",Indefinite,Backstory
Disabling: Athletics Overconfidence,"Extremely overconfident in Athletics, cannot invest in.",Indefinite,Backstory
Disabling: Lift Overconfidence,"Extremely overconfident in Lift, cannot invest in.",Indefinite,Backstory
Disabling: Perception Overconfidence,"Extremely overconfident in Perception, cannot invest in.",Indefinite,Backstory
Disabling: Dexterity Overconfidence,"Extremely overconfident in Dexterity, cannot invest in.",Indefinite,Backstory
Disabling: Stealth Overconfidence,"Extremely overconfident in Stealth, cannot invest in.",Indefinite,Backstory
Disabling: General Knowledge Overconfidence,"Extremely overconfident in General Knowledge, cannot invest in.",Indefinite,Backstory
Disabling: Will Overconfidence,"Extremely overconfident in Will, cannot invest in.",Indefinite,Backstory
Disabling: Communication Overconfidence,"Extremely overconfident in Communication, cannot invest in.",Indefinite,Backstory
Disabling: Incapable of Lying,"(Specific parameters required, see Cogent website for examples)",Indefinite,Backstory
Disabling: Addiction,"Extreme addiction, suffers from withdrawals if not satisfied.",Indefinite,Backstory
Disabling: Delusion,"Belief of something to be real beyond the scope of simple faith. ",Indefinite,Backstory
Disabling: Imperceptive,Disadvantage to environmental Perception rolls.,Indefinite,Backstory
Disabling: Blind,Unable to make sight based perception checks.,Indefinite,Backstory
Disabling: Deaf,Unable to make hearing based perception checks.,Indefinite,Backstory
Disabling: Anosmia,Unable to make smell based perception checks.,Indefinite,Backstory
Disabling: Ageusia,Unable to make taste based perception checks.,Indefinite,Backstory
Disabling: Anaphia,Unable to make touch based perception checks.,Indefinite,Backstory
Disabling: Gullible," Disadvantage versus deceptive communication rolls.",Indefinite,Backstory
Disabling: Impressionable," Disadvantage versus persuasive communication rolls.",Indefinite,Backstory
Disabling: People Pleaser,"Always try to make other people happy, even at their own expense.",Indefinite,Backstory
Disabling: SKILL Overconfidence,"Extremely overconfident in SKILL, cannot invest in.",Indefinite,Backstory
Disabling: Illiterate,Can't read or write.,Indefinite,Backstory
Disabling: Overly Nostalgic,Constantly reminiscing about the good old day.,Indefinite,Backstory
,,,
Size: Tiny,2.5x2.5 ft on battle map.,Indefinite,Innate
Size: Small,5x5 ft on battle map.,Indefinite,Innate
Size: Medium,5x5 ft on battle map.,Indefinite,Innate
Size: Large,10x10 ft on battle map.,Indefinite,Innate
Size: Huge,15x15 ft on battle map.,Indefinite,Innate
Size: Gargantuan,20x20 ft on battle map.,Indefinite,Innate
,,,
Destiny Points,"Characters can be awarded Destiny Points by the Narrator and can hold a max of 3. Spending a ""Preemptive Destiny Point"" before rolling a dice pool gives Advantage on the resulting roll. Spending ""Post Roll Destiny Points"" adds additional Wins for each point spent, with the total Wins never exceeding the size of the dice pool. (0/3)",Indefinite,Given by The Narrator
Destiny Resistance,"""Post Roll Destiny Points"" cannot be spent against this character.",Indefinite,Given by The Narrator
Destiny Immunity,Destiny Points cannot be spent against this character.,Indefinite,Given by The Narrator
Destiny Chosen,Destiny Point Cap set to 6. Gain an additional Destiny Point whenever one is gained. Destiny begins to shape around the user's true desires.,Indefinite,Given by The Narrator
,,,
Condition Immunities:,Character is immune to the specified conditions.,Indefinite,Innate
,,,
Minor Weakness: (Damage Type),+1 to the level of injury received from damage type.,Indefinite,Innate
Medium Weakness: (Damage Type),+2 to the level of injury received from damage type.,Indefinite,Innate
Serious Weakness: (Damage Type),+3 to the level of injury received from damage type.,Indefinite,Innate
Fatal Weakness: (Damage Type),+4 to the level of injury received from damage type.,Indefinite,Innate
Minor Resistance: (Damage Type),-1 to victory levels received from damage type.,Indefinite,Innate
Medium Resistance: (Damage Type),-2 to victory levels received from damage type.,Indefinite,Innate
Serious Resistance: (Damage Type),-3 to victory levels received from damage type.,Indefinite,Innate
Fatal Resistance: (Damage Type),-4 to victory levels received from damage type.,Indefinite,Innate
Complete Resistance: (Damage Type),Negate victory levels received from damage type.,Indefinite,Innate
,,,
